"j0 = 1.0, jpm = 0.5","j0 = 1.5, jpm = 0.5","j0 = 2.0, jpm = 1.0","j0 = 2.5, jpm = 1.0","j0 = 3.0, jpm = 1.0","j0 = 3.5, jpm = 1.5","j0 = 4.0, jpm = 1.5","j0 = 4.5, jpm = 2.0","j0 = 5.0, jpm = 2.0"
0.1411242622,0.164397893,0.588507683,0.307706996,0.181378383,0.820271011,0.503520333,0.907742797,0.661210678
1.06324034,0.690442788,1.370244647,0.886172809,0.870291841,2.410110909,1.326932458,3.193962237,2.305026456
3.343494036,2.21725208,4.49286212,2.731659436,2.73020376,8.45943376,4.916851678,13.808122905,10.368161823
6.888787585,5.213607895,11.930478878,8.478103434,9.108918605,31.915015552,21.445267925,63.175679339,59.140127338
13.340261241,10.170452667,31.126943784,24.535217063,27.220715711,112.813803111,88.349500866,274.985564252,300.631397271
23.104385516,19.087736925,67.158436395,64.583635419,63.659230918,325.547868275,283.416406537,858.132904122,1033.082064254
37.74371879,32.021471174,138.929113988,143.96530705,146.45492318,793.155428977,727.999946208,2207.171903365,2772.867931935
60.597365958,54.068640831,255.472413119,286.930354108,280.878449952,1672.359507201,1600.958757493,4800.653942997,6343.599627102
92.546361011,87.151024413,458.449483983,523.230337366,531.005036701,3152.518462565,3134.964681303,9394.520106362,12763.167134245
127.736909858,117.055460457,769.994714219,893.236382487,929.692073925,5504.552337948,5634.377384025,16753.538614892,23555.178333597
189.593978361,180.13720361,1239.821475245,1444.859854804,1525.508992572,9034.905900152,9503.172687133,27937.331817263,40154.329547604
